booking_id,external_booking_ref,customer_name,customer_email,service,service_code,booking_date,start_time,end_time,checkin_time,checkout_time,location,channel,source_system,staff_assigned,dog_name,dog_breed,dog_weight,dog_gender,temperament,medication,food_preference,special_instructions,promo_code,discount,price,tax_rate,is_cancelled,cancel_reason,is_repeat_customer,customer_rating,customer_feedback,created_at,updated_at,notes
11,,Lin Chen,linchen@gmail.com,Vet Shuttle,VS,2024-01-21,04:00 PM,17:00,,17.23,Solna,partner,form,Hugo,NULL,mix,7.9,F,NaN,,,no treats,VIP5,,20,,yes,,N,,great!,,Jan 24 2024,
12,,AHMED ALI,ahmedali81@company.se,boarding,BD,30 Mar 2024,18:00,10.00,,,Nacka,partner,,NULL,Max,Golden Retriever,,male,playful,antibiotics,kibble,no treats,WELCOME10,10%,twentyfive,"0,25",,no show,N,5 ,ok,03/20/2024,2024-04-03,late pickup fee applied
13,BK_VI673KLL,EMMA JOHANSSON,emmajoha610@email.com,Training,NaN,19 Feb 2024,08.00,10.00,09:05,17.43,,email,,Johan,Max,Poodle,,F,playful,insulin,,,VIP5,,35,,No,no show,,n/a,late pickup,18-02-2024,24-02-2024,late pickup fee applied
14,, frida karlsson ,fridakar823@gmail.com,DAYCARE,DC,NULL,99:99,05:00 PM,,,Sthlm,phone,pos_export,Clara,NULL,,19.4,female,n/a,,kibble,,,10,25,25%,YES,n/a,n/a,NaN,NaN,Apr 09 2024,18 Apr 2024,first visit
15,NULL,Karin Lund,karinlun871@gmail.com,Training,TR,2024/03/02,10:00,11:00,,17:10,Solna,partner,form,Clara,Charlie,Beagle,12kg,,PLAYFUL,none,,,VIP5,10%,35,0.25,YES,,,1,,n/a,,first visit
16,,Frida Karlsson,fridakar823@gmail.com,Boarding,BD,2024.03.09,17:30,09:30,,17:10,Sundbyberg,insta,pos_export,,Charlie,Golden Retriever,12kg,n/a,shy,none,,,,NaN,60,25%,1,,N,NULL,great!,06/03/2024,10/03/2024,NaN
17,LEGACY-7DF891,OSCAR BERG,oscarber791@outlook.com,DAYCARE,DC,19-03-2024,16.00,00.00,09:30 AM,17:10,Huddinge,partner,,,NULL,Chihuahua,,Unknown,NaN,,raw,NULL,,n/a,25,,0,,Y,NaN,n/a,2024-03-16,23 Mar 2024,VIP
18,BK_XX9PKQGB,Jonas Nilsson,jonasnil950@outlook.com,training,TR,Feb 03 2024,09:00 AM,10:00,,,Sundbyberg,phone,sheets,David,,MIXED,12kg,Unknown,calm,,,,WELCOME10,10,35,0.25,,no show,N,3,NULL,30 Jan 2024,02/03/2024,first visit
19,,emma johansson,emmajoha@gmail.com,GROOMING,,2024.04.14,08:00,09.00,n/a,,NULL,website,export_v1,,,,12kg,n/a,shy,,,,WELCOME10,5,40,"0,25",YES,,Y,,ok,14 Apr 2024,2024/04/18,first visit
20,,sofia andersson,NULL,Grooming,n/a,02/18/2024,10:00 AM,18:00,09:05,,Nacka,partner,form,Elise,Rocky,Chihuahua,unknown,U,aggressive,,n/a,NULL,newyear,NaN,"40,0",25%,no,NaN,no,NULL,late pickup,02/14/2024,2024/02/23,
21,BK_F73GGAYB,oskar berg,oskarber957@company.se,TRAINING,TR,06/03/2024,04:00 PM,17.00,8:59,NaN,,email,form,,Charlie,NULL,12kg,U,unknown,n/a,,,,NaN,35.0,,,no show,N,n/a,,02/29/2024,03/11/2024,
22,BK_L70ZO6RD,ANA GARCIA,anagarci@email.com,Boarding,BD,2024/04/29,06:00 PM,09:00,09:05,25:00,Solna,,form,,Luna,mix,,F,playful,,kibble,,,,60,0.25,,sick dog,N,4,ok,2024.04.27,04/05/2024,first visit
23,BK_FX35LG49,Noah  Eriksson,noaherik391@email.com,BOARDING,BD,04/23/2024,05:30 PM,08.30,09:05,17:10,Sthlm,IG,export_v1,Anna,Max,Dachshund,,female,,insulin,kibble,n/a,,0,,0.25,,no show,N,2,late pickup,2024-04-19,2024-04-25,NULL
24,,pedro silva,pedrosil274@gmail.com,BOARDING,BD,2024.02.25,17:30,09:30,,,Solna,instagram,export_v1,Felix,,,,F,shy,,n/a,,,0,60,"0,25",yes,no show,no,NULL,ok,20 Feb 2024,Feb 26 2024,first visit
25,NaN,Lin Chen,linchen129@outlook.com,Training,,21/02/2024,10:00,12:00,08:54 AM,17:10,,website,form,Hugo,NaN,,n/a,male,NULL,,hypoallergenic,separate from big dogs,newyear,10,35,,0,NULL,,5,NaN,2024-02-18,2024-02-24,VIP
26,,David Stone,davidsto@email.com,Vet Shuttle,VS,2024-01-15,16:0,06:00 PM,09:05,,STOCKHOLM,IG,pos_export,Ida,Rocky,,,female,aggressive,,NULL,,VIP5,NaN,20,,YES,,no,2,,01/15/2024,2024.01.18,VIP
27,BK_2TH1FPHM,mikael astrom,mikaelås460@gmail.com,Nail Trim,NT,2024.04.06,08:00,25:00,08.48,17:10,,website,sheets,David,,NULL,unknown,U,anxious,,raw,no treats,,,15,,,no show,yes,3,,2024.04.03,Apr 06 2024,VIP
28,, Nora Hansen ,norahans10@email.com,Daycare,DC,2024/02/11,10:00,12:00,NULL,17.51,Nacka,walk-in,form,Clara,Rocky,,11.5,Unknown,unknown,,NULL,handle with care,newyear,5,35 SEK,0.25,yes,weather,NULL,n/a,ok,2024-02-01,12-02-2024,first visit
29,BK_GA3YYGDT,Oskar  Berg,NaN,grooming,GR,24/04/2024,10:00,12:00,,05:48 PM,Täby,website,export_v2,David,Milo,German Shepherd,n/a,Unknown,,n/a,NULL,handle with care,WELCOME10,n/a,40,,,sick dog,,NaN,great!,04/22/2024,27-04-2024,VIP
30,LEGACY-YJMYVM, MARIAM ALI ,,TRAINING,TR,21-04-2024,08:00,10:00,09:03 AM,,Stockholm,walk-in,excel,David,Luna,MIXED,41.3,Unknown,shy,insulin,,handle with care,n/a,NaN,35.00,,YES,sick dog,NaN,,,2024/04/21,Apr 24 2024,
31,,ANA GARCIA,anagarci713@email.com,Grooming,GR,03/18/2024,10.00,,,17:10,STOCKHOLM,IG,form,Elise,Rocky,Labrador,,M,calm,NaN,,,newyear,5,40,0.25,YES,,Y,,great!,14 Mar 2024,,
32,,EMMA  JOHANSSON,,NAIL TRIM,NT,2024-01-20,n/a,18:00,n/a,,Stockholm,partner,form,,,French Bulldog,,,PLAYFUL,,raw,,VIP5,,15,"0,25",,weather,n/a,,NULL,Jan 20 2024,2024.01.20,late pickup fee applied
33,,ELIN SVENSSON,n/a,Boarding,BD,14/01/2024,06:00 PM,10:00 AM,09:40,,Huddinge,,export_v1,n/a,,Dachshund,12kg,male,unknown,NaN,kibble,NaN,,5,n/a,25%,YES,NaN,yes,,late pickup,2024.01.06,16-01-2024,
34,BK_RD31TB05,Oscar Berg,NULL,DAYCARE,DC,,08.00,09.00,,16:36,Stockholm,website,pos_export,Greta,Max,Chihuahua,unknown,Unknown,calm,,,,,10,25,0.25,,,yes,1,great!,2024.04.14,19/04/2024,
35,BK_WEU97Z77,OSCAR BERG,oskarber667@gmail.com,Grooming,GR,2024/02/13,13:00,21:00,09:22,,Huddinge,insta,,Ida,Coco,Chihuahua,12kg,,unknown,,raw,handle with care,,,40,0.25,YES,no show,,,late pickup,13 Feb 2024,Feb 18 2024,first visit
36,LEGACY-QCSENJ, fatima khan ,fatimakh971@email.com,Training,TR,,10:00,12:00 PM,NULL,,Sthlm,instagram,export_v2,NaN,,Golden Retriever,,F,unknown,n/a,NaN,handle with care,VIP5,,35,25%,n/a,sick dog,,4,late pickup,04/14/2024,16 Apr 2024,
37,n/a,PEDRO  SILVA,pedrosil201@outlook.com,nail trim,NT,28 Jan 2024,01:00 PM,09:00 PM,NULL,NaN,Nacka,phone,sheets,,,,42.9,male,playful,NaN,hypoallergenic,,VIP5,,15,,1,NULL,n/a,,NaN,,Jan 30 2024,
38,LEGACY-3QFXMH,Jonas Nilsson,,n/a,TR,2024-04-30,09.00,,,17:10,Sthlm,phone,export_v2,Elise,,MIXED,unknown,F,reactive,antibiotics,,NaN,newyear,,35,25%,yes,,,,NULL,21/04/2024,May 01 2024,late pickup fee applied
39,,Ana Garcia,,TRAINING,TR,2024-04-11,01:00 PM,21:00,08:40,,Sundbyberg,partner,,David,NaN,Chihuahua,,Unknown,NaN,insulin,,,newyear,5,35,0.25,,sick dog,,3,NULL,04/10/2024,14 Apr 2024,
40,,Lin  Chen,linchen175@outlook.com,Boarding,BD,2024.04.27,19:00,11:00,NaN,05:33 PM,Täby,email,pos_export,,Charlie,,unknown,Unknown,unknown,insulin,,no treats,,NULL,60,0.25,,,Y,NULL,great!,2024.04.22,,
41,, ahmed ali ,ahmedali@gmail.com,NaN,BD,01-01-2024,19.00,10.00,09:03 AM,16.50,,website,sheets,,Coco,Labrador,12kg,M,,none,hypoallergenic,handle with care,,10%,"40,0",,yes,sick dog,NULL,1,ok,26-12-2023,06 Jan 2024,
42,BK_5WL0JD0I,Sofia Andersson,n/a,nail trim,NT,23-01-2024,08:00,09.00,09:05,17:38,Huddinge,IG,,Felix,Coco,German Shepherd,,U,PLAYFUL,none,kibble,NaN,WELCOME10,10%,15,"0,25",,,NULL,5,,2024-01-13,Jan 23 2024,first visit
43,,Ella  Berg,ellaberg@email.com,NAIL TRIM,NT,2024-02-12,9am,18.00,08:41 AM,,Nacka,insta,form,Greta,,French Bulldog,,female,unknown,,,no treats,,NaN,15,0.25,yes,sick dog,yes,,,05 Feb 2024,Feb 16 2024,first visit
44,BK_2Y3C0EQ4,mikael astrom,mikaelås460@gmail.com,Nail Trim,NT,15-04-2024,09:00,11:00 AM,n/a,NaN,Solna,instagram,form,Elise,,Chihuahua,unknown,female,playful,,,no treats,,,15,25%,no,,Y,3,,12-04-2024,,
45,BK_XNOAD78Q,Oscar Berg,oscarber281@gmail.com,VET SHUTTLE,VS,12/01/2024,08:00 AM,10.00,08.55,17.23,Stockholm,phone,sheets,Ida,Rocky,,,U,,insulin,,NaN,,NaN,20,,YES,,yes,2,,12-01-2024,01/17/2024,
46,BK_B8363DHT,SOFIA  ANDERSSON,sofiaand850@gmail.com,TRAINING,TR,2024.03.13,09.00,10:00,08.52,05:45 PM,NULL,IG,export_v1,Greta,Charlie,Beagle,12kg,female,NaN,,NaN,handle with care,,5,35,25%,,sick dog,,,,,14-03-2024,n/a
47,,Ahmed Ali,ahmedali@email.com,Training,TR,2024-01-17,NaN,12:00,,05:32 PM,Solna,,n/a,Johan,NaN,n/a,unknown,male,unknown,,,,VIP5,NaN,,0.25,YES,no show,,,late pickup,01/14/2024,NULL,
48,n/a,OLIVIA LIND,oliviali817@company.se,Vet Shuttle,VS,Mar 26 2024,08.00,,,,Stockholm,partner,form,Elise,Coco,,9.3,F,,insulin,,,NaN,NULL,20,"0,25",0,,,n/a,n/a,2024.03.16,03/26/2024,NULL
49,BK_7BIOI3NE,Mikael ÅSTROM,mikaelås495@outlook.com,TRAINING,TR,01-04-2024,08:00 AM,16:00,,,Solna,email,pos_export,David,Bella,Beagle,,F,NaN,,,n/a,n/a,10,35,"0,25",,weather,yes,NULL,NaN,2024/00/12,05 Apr 2024,late pickup fee applied
50,,mikael åstrom,mikaelås@email.com,Daycare,DC,Feb 14 2024,10.00,12:00,09:05,17:39,Sthlm,insta,sheets,Felix,Coco,Dachshund,,male,anxious,insulin,,NULL,newyear,5,25,,no,sick dog,n/a,,ok,2024-02-11,15/02/2024,VIP
51,LEGACY-KXVS6A,jonas  nilsson,jonasnil@email.com,Vet Shuttle,VS,03/13/2024,16:00,18:00,09:35,17.20,Sundbyberg,instagram,export_v2,n/a,Milo,French Bulldog,,Unknown,reactive,none,,no treats,VIP5,10,20,25%,no,NaN,N,n/a,,2024/03/11,13/03/2024,NaN
52,,emma johansson,emmajoha@gmail.com,training,TR,20-03-2024,10:00,11.00,,25:00,Stockholm,IG,export_v1,Felix,Coco,Poodle,,U,unknown,insulin,hypoallergenic,NULL,,,35,,,weather,,,ok,2024.03.15,21/03/2024,late pickup fee applied
53,,Lin Chen,linchen811@email.com,Boarding,BD,2024.04.05,17:30,08:30 AM,,,Täby,website,export_v1,Ida,Coco,Labrador,,,unknown,antibiotics,,NULL,,NaN,,,No,,Y,,great!,2024/03/26,2024.04.09,first visit
54,BK_1NYKS9UR,Karin Lund,NaN,boarding,BD,06-01-2024,07:00 PM,10:00,,NaN,,,,Anna,Luna,Mixed,,Unknown,shy,,kibble,no treats,,,60,0.25,0,,,5,,06-01-2024,NaN,first visit
55,LEGACY-AFGQ3C,David Stone,davidsto885@company.se,Nail Trim,NT,2024/01/21,09.00,10:00 AM,,n/a,Sundbyberg,insta,export_v1,Hugo,Rocky,Golden Retriever,unknown,M,n/a,,,NaN,n/a,10%,15,"0,25",yes,,,3,NaN,Jan 16 2024,2024-01-24,
56,LEGACY-5259GM,Frida Karlsson,fridakar22@company.se,Boarding,BD,2024/01/20,05:30 PM,08:30 AM,,,STOCKHOLM,website,excel,Johan,Max,Labrador,,F,PLAYFUL,none,,NULL,,10%,60,0.25,,n/a,no,,,2024/01/11,25 Jan 2024,late pickup fee applied
57,,Frida Karlsson,fridakar@gmail.com,Boarding,BD,2024-04-05,07:00 PM,11:00,09:16,,Täby,email,export_v1,Ida,Max,Dachshund,,Unknown,aggressive,antibiotics,kibble,,VIP5,10,60,,,,Y,4,,,04/10/2024,NULL
58,,Maria Lopez,maríalóp@email.com,n/a,BD,2024-03-30,19.00,10:00,,05:43 PM,Stockholm,,pos_export,,Max,German Shepherd,12kg,female,PLAYFUL,antibiotics,,,NaN,5,60,25%,no,NaN,N,,late pickup,24 Mar 2024,03/30/2024,late pickup fee applied
59,,Liam Andersson,NaN,Training,TR,2024-02-08,9am,18.00,,,Täby,NaN,pos_export,Elise,n/a,Beagle,14.2,male,PLAYFUL,insulin,NaN,separate from big dogs,n/a,5,35,25%,,sick dog,no,,,,NaN,VIP
60,,Mariam  Ali,mariamal643@email.com,training,TR,22-01-2024,08:00,10:00,NaN,17.05,,phone,sheets,Björn,Luna,mix,,female,reactive,,,,newyear,5,35,25%,yes,sick dog,yes,2,,n/a,2024/01/23,VIP
61,,Emma Johansson,emmajoha446@gmail.com,Boarding,,08/02/2024,07:00 PM,10.00,n/a,17:10,Stockholm,IG,pos_export,,Charlie,French Bulldog,,female,,insulin,,no treats,WELCOME10,10,60,0.25,yes,NULL,,,great!,2024.01.29,13 Feb 2024,late pickup fee applied
62,,sofia andersson,sofiaand383@gmail.com,vet shuttle,,19-02-2024,13:00,02:00 PM,NULL,,Täby,walk-in,excel,Greta,Coco,mix,,NULL,aggressive,none,,NaN,,10,20,0.25,No,,,2,late pickup,02/18/2024,2024-02-23,first visit
63,BK_V8RSRKPV,OLIVIA LIND,oliviali965@email.com,daycare,DC,2024/02/10,08:00 AM,04:00 PM,,17:10,Solna,email,,Hugo,,mix,,Unknown,NULL,n/a,raw,,NULL,,25,,No,weather,yes,3,,03-02-2024,13/02/2024,late pickup fee applied
64,NULL,Fatima  Khan,fatimakh509@gmail.com,DAYCARE,DC,2024.02.25,01:00 PM,14:00,NULL,NaN,Stockholm,IG,excel,,Charlie,Labrador,12kg,Unknown,NULL,n/a,raw,NaN,VIP5,5,n/a,"0,25",1,,N,,,n/a,28 Feb 2024,NaN
65,BK_T862VL1T,luis perez,luispere308@outlook.com,VET SHUTTLE,VS,01-02-2024,10:00 AM,11:00 AM,08:45 AM,,Sthlm,n/a,pos_export,,,Husky,26.2,U,reactive,NULL,,,n/a,10%,20,,no,NULL,N,,ok,29 Jan 2024,Feb 01 2024,
66,BK_IK6FPG5W,noah  eriksson,noaherik581@email.com,training,TR,28-01-2024,08:00 AM,10.00,,17:42,Solna,email,export_v2,Felix,Rocky,Husky,,F,NaN,,raw,,,5,NaN,25%,0,NaN,,5 ,,,02/01/2024,
67,,AHMED ALI,ahmedali594@email.com,VET SHUTTLE,VS,2024.03.30,10:0,12:00 PM,,n/a,Nacka,phone,pos_export,David,Bella,,unknown,male,aggressive,n/a,NULL,,,,,,,weather,yes,,late pickup,24 Mar 2024,2024-04-01,
68,,NORA HANSEN,norahans@email.com,Boarding,n/a,2024/03/19,07:00 PM,11.00,09.22,,Huddinge,instagram,export_v2,Clara,Charlie,Beagle,,female,,insulin,raw,no treats,,,60,,No,no show,no,4,late pickup,14 Mar 2024,2024.03.22,late pickup fee applied
69,LEGACY-QUA2F9,Olivia  Lind,oliviali438@outlook.com,DAYCARE,DC,2024-03-30,09:00 AM,10:00 AM,,NULL,Sundbyberg,instagram,excel,,Charlie,Dachshund,,Unknown,unknown,,,,WELCOME10,NULL,25,0.25,no,,yes,3,great!,,04-04-2024,
70,, OSCAR BERG ,oscarber@email.com,DAYCARE,NULL,31/01/2024,01:00 PM,09:00 PM,,,Nacka,insta,form,Hugo,,Husky,25.8,M,n/a,none,NULL,,n/a,10,25,25%,,NaN,,n/a,n/a,30 Jan 2024,02 Feb 2024,first visit
71,LEGACY-X9DW7Z,Jonas Nilsson,NULL,GROOMING,GR,30-04-2024,09.00,10:00,,17:10,Stockholm,insta,NaN,David,Luna,MIXED,unknown,female,playful,,,n/a,,,40,0.25,YES,weather,yes,,,28/04/2024,01-05-2024,first visit
72,,LIAM ANDERSSON,liamande293@outlook.com,n/a,DC,05/01/2024,13:00,21:00,,,Nacka,partner,,Hugo,Milo,Chihuahua,unknown,M,shy,antibiotics,,,VIP5,10%,25,,,,,,,2023/12/26,2024/01/05,
73,BK_RHQS9DVE,Jonas Nilsson,jonasnil@gmail.com,Training,TR,2024/01/23,10:00 AM,11:00,8:50,17:10,Nacka,insta,export_v1,Greta,Milo,n/a,,female,n/a,,n/a,,,5,,,,n/a,yes,,ok,2024/01/13,2024/00/12,
74,,LUIS PÉREZ,luispere582@gmail.com,Nail Trim,NT,Jan 18 2024,13.00,15.00,,16.43,STOCKHOLM,email,pos_export,Ida,Max,French Bulldog,,female,aggressive,,,n/a,,,15.0,25%,no,,,NaN,,14 Jan 2024,Jan 23 2024,late pickup fee applied
75,, ELLA BERG ,ellaberg261@gmail.com,VET SHUTTLE,VS,09 Feb 2024,NULL,18:00,,17:10,Nacka,email,pos_export,Elise,,Poodle,,Unknown,playful,insulin,,separate from big dogs,VIP5,10,20,,yes,no show,N,5 ,,NaN,2024/02/12,
76,,david  stone,davidsto731@email.com,Grooming,GR,Feb 08 2024,09:00,17:00,,17:10,Nacka,instagram,,Hugo,Luna,Dachshund,12kg,male,reactive,,n/a,,n/a,NULL,40,,1,sick dog,no,NaN,,Feb 08 2024,2024/02/12,
77,,Mikael Åström,mikaelås584@company.se,Training,TR,2024.02.25,10.00,,,n/a,Stockholm,insta,excel,,n/a,French Bulldog,,female,NaN,,,separate from big dogs,,,35,25%,yes,no show,Y,3,great!,2024/02/24,Feb 28 2024,
78,,OSCAR BERG,oscarber275@company.se,Nail Trim,NT,2024/02/17,10:0,12:00 PM,,n/a,Nacka,partner,pos_export,Felix,Coco,mix,,male,,,,separate from big dogs,,5,15,,1,,,NaN,,2024/02/16,02/22/2024,NULL
79,BK_8K25GP0A, Jonas Nilsson ,jonasnil669@company.se,TRAINING,TR,16-02-2024,01:00 PM,21:00,,,Nacka,insta,export_v1,,n/a,Poodle,,male,NaN,NaN,hypoallergenic,,,NULL,35,25%,,NaN,,,NULL,02/16/2024,17-02-2024,
80,,Ana Garcia,anagarci248@company.se,Daycare,DC,01/22/2024,10:0,12:00 PM,,,Sthlm,email,pos_export,Hugo,Max,Mixed,12kg,male,unknown,n/a,,,,NaN,25,"0,25",0,,Y,2,n/a,16/01/2024,Jan 27 2024,late pickup fee applied
81,,Liam Andersson,liamande@gmail.com,Grooming,GR,2024.01.20,09:00,17.00,,n/a,,,form,Ida,Max,MIXED,,Unknown,shy,insulin,raw,,,,40,"0,25",NaN,weather,no,5,ok,,2024-01-21,first visit
82,NULL,lin chen,linchen@email.com,TRAINING,TR,02/04/2024,04:00 PM,18:00,,,Sthlm,IG,form,,Charlie,n/a,,U,n/a,NULL,raw,,,n/a,60kr,,,,N,n/a,,02 Feb 2024,09/02/2024,late pickup fee applied
83,LEGACY-AZQ4X5,SARA LIND,saralind838@email.com,TRAINING,TR,2024.01.03,10.00,11:00 AM,09:05,,Huddinge,partner,export_v1,,Milo,Husky,NaN,Unknown,,,,,,5,35,,,NULL,Y,5 ,ok,2024.01.01,05-01-2024,
84,,MIKAEL  ASTROM,mikaelås@email.com,VET SHUTTLE,VS,04/25/2024,01:00 PM,14.00,09:05,17:35,Sundbyberg,email,sheets,,,mix,,U,,,,,WELCOME10,,20,"0,25",1,weather,no,5 ,,2024-20-04,25/04/2024,VIP
85,,David Stone,davidsto391@company.se,Nail Trim,NT,2024.04.14,,15.00,n/a,NaN,Huddinge,,export_v1,,Bella,Husky,,NaN,shy,,hypoallergenic,no treats,NaN,NULL,15,,0,n/a,NULL,5,,Apr 13 2024,2024/04/15,VIP
86,,NOAH ERIKSSON,noaherik@gmail.com,Boarding,BD,03/11/2024,18.00,10:00 AM,,,Täby,phone,pos_export,David,Luna,,NULL,male,n/a,none,,,WELCOME10,0,60,"0,25",YES,,,,NaN,2024.03.07,NaN,
87,BK_DILXN48L,Noah Eriksson,noaherik@email.com,BOARDING,BD,16/02/2024,19:00,10:00,09.35,17:10,STOCKHOLM,walk-in,pos_export,Anna,n/a,MIXED,38.3,Unknown,anxious,NULL,,,WELCOME10,10%,,,No,no show,,NaN,late pickup,13-02-2024,16-02-2024,
88,,Elin Svensson,elinsven653@email.com,Daycare,DC,15 Feb 2024,13.00,NaN,,,Solna,walk-in,sheets,Felix,,Mixed,n/a,female,reactive,insulin,NaN,,,5,25,,YES,no show,,2,great!,n/a,02/17/2024,
89,,Elin  Svensson,elinsven@gmail.com,Daycare,DC,2024/04/12,08:00 AM,10:00,09:05,,Stockholm,instagram,form,Björn,Rocky,Poodle,,Unknown,playful,,raw,,VIP5,,25,"0,25",1,sick dog,N,,,2024-04-09,2024/04/14,late pickup fee applied
90,LEGACY-S12H1V,Ella Berg,NaN,Nail Trim,NT,2024.02.05,08:00 AM,04:00 PM,09:05,NULL,Huddinge,NULL,,,Milo,Golden Retriever,12kg,Unknown,unknown,NULL,,,NaN,n/a,n/a,,,weather,Y,4,ok,01/28/2024,NULL,first visit
91,,Ella  Berg,ellaberg691@outlook.com,nail trim,NT,Mar 31 2024,09:00,17.00,,,Nacka,,excel,Anna,,Mixed,12kg,M,PLAYFUL,,,,newyear,5,15,,1,n/a,,5 ,,21/03/2024,2024.03.31,VIP
92,,ana garcia,,Boarding,BD,2024/04/19,17:30,09:30 AM,09:05,17:10,Huddinge,insta,export_v2,Felix,,Poodle,,F,playful,none,,no treats,n/a,NaN,60,0.25,n/a,,,,,n/a,23-04-2024,late pickup fee applied
93,BK_47LZ0O15,Karin Lund,karinlun413@email.com,Training,TR,02/20/2024,10:00,06:00 PM,09.18,,Nacka,IG,export_v1,David,Charlie,Poodle,36.5,F,NaN,,raw,separate from big dogs,VIP5,,35,25%,1,NULL,yes,,ok,2024.02.18,n/a,
94,BK_L96EPT6A,Elin Svensson,elinsven@email.com,Training,TR,n/a,10.00,18.00,n/a,,STOCKHOLM,NaN,sheets,David,,Mixed,n/a,male,PLAYFUL,,raw,NULL,newyear,n/a,35,0.25,yes,,N,3,great!,03/02/2024,NULL,NaN
95,,Olivia Lind,oliviali782@email.com,Vet Shuttle,VS,2024.03.31,08.00,16.00,09:05,,Stockholm,insta,form,Clara,Coco,Chihuahua,n/a,Unknown,,,raw,no treats,,10,20,25%,yes,,Y,n/a,,2024/03/22,2024/04/02,
96,BK_9N44FBV4,MIKAEL ASTROM,mikaelås991@email.com,Boarding,BD,2024.02.28,99:99,10.00,09:05,,,insta,pos_export,,Rocky,,,male,anxious,,raw,,WELCOME10,,60,,No,weather,,1,,2024.02.24,29/02/2024,first visit
97,n/a,ahmed ali,ahmedali255@outlook.com,Boarding,BD,Feb 26 2024,17.30,08.30,08:47 AM,17.54,Sthlm,website,pos_export,Björn,Milo,,,U,playful,,,separate from big dogs,,5,60,"0,25",yes,NaN,Y,4,ok,22 Feb 2024,2024-02-29,
98,BK_BSLYFAY0,Ana G.,anagarci91@email.com,Grooming,GR,2024.04.27,08.00,16:00,09:32,,STOCKHOLM,insta,export_v2,Ida,,mix,,male,NaN,antibiotics,,separate from big dogs,newyear,5,40,,,sick dog,no,3,,2024-04-19,Apr 27 2024,
99,,JONAS NILSSON,jonasnil@email.com,Grooming,GR,03/03/2024,16:00,18:00,NULL,17.40,Sthlm,insta,pos_export,Clara,Luna,Chihuahua,21.6,male,playful,antibiotics,,NULL,NULL,10%,40,,YES,n/a,Y,n/a,,Mar 02 2024,Mar 08 2024,
