payment_id,booking_id,customer_email,amount_gross,currency,tax_amount,fee_amount,amount_net,status,payment_method,gateway,gateway_payment_ref,invoice_no,receipt_no,paid_at,refunded_at,refund_ref,country_of_card,card_brand,last4,installments,chargeback_flag,created_at,source_system,notes
900040,278,user5458@email.com,40,EUR,,n/a,,PAID,Klarna,stripe,,,,2024/01/01 13:40,,re_FYXVL5OROP,ES,,,,,NaN,pos,n/a
900041,521,saralind135@email.com,20,SEK,5.0,n/a,,Refunded,bank_transfer,stripe,pi_ZTO248J4QBD6,,RCPT_7H7903O,2024-01-29 12:43,,,n/a,VISA,,,,,pos,
900042,218,NaN,35,sek,,2.52,32.48,failed,Klarna,square,,INV-202402-3332,,2024-02-03T13:30:00,,NaN,ES,,8442,2,0,,,manual correction
900043,951,user2448@gmail.com,,SEK ,,,32.48,Paid,cash,manual,n/a,,RCPT_2Y020AX,2024-01-27 14:55,,NaN,ES,VISA,7110,1,,,stripe_export,duplicate
900044,1136,linchen811@email.com,20,Sek,,,,failed,Card,manual,,,,02/02/2024 19:43,n/a,NaN,GB,,,,0,,pos,
900045,283,fatimakh311@gmail.com,15,€,,,,FAILED,Card,square,,INV-202403-4760,,,n/a,n/a,,n/a,4081,,yes,,,
900046,96,davidsto777@company.se,25,SEK,,,,payed,cash,,,,,,,n/a,SE,amex,,,yes,NaN,stripe_export,partial refund
900047,1132,user3383@gmail.com,20,EUR,,,,refunded,Klarna,manual,n/a,,,2024/01/10 11:36,,NaN,ES,NULL,NaN,3,NaN,,,duplicate
900048,231,mikaelås@gmail.com,35,EUR,n/a,2.52,,failed,NULL,square,,,RCPT_NHMH79P,2024/02/03 09:09,NaN,NaN,SE,,,3,NaN,2024/02/03 09:09,pos,
900049,507,,"25,00",EUR,6.25,,22.77,payed,Klarna,square,ch_VL4XT50HBL,INV-202401-8606,,2024/01/31 16:36,,n/a,SE,VISA,,1,,,pos,
900050,630,anagarci713@email.com,NaN,sek,,,32.48,PAID,SWISH,stripe,pi_Y8XQJD5O9KT5,,,2024-01-25 12:11,,,NaN,visa,,NULL,,2024-01-25 12:11,,
900051,735,user8419@gmail.com,60,€,15.0,,,FAILED,SWISH,manual,,INV-202403-9002,RCPT_HE3DV3H,Mar 02 2024 21:03,NaN,,,VISA,6825,n/a,,,manual_sheet,
900052,361,oscarber569@company.se,,SEK ,10.0,2.66,,paid,card,adyen,ch_E5DFXYBS77,INV-202404-3912,,2024/04/15 10:53,NULL,n/a,,visa,1097,1,1,,stripe_export,
900053,826,oscarber650@outlook.com,15,SEK,3.75,,NaN,Paid,invoice,klarna,,NULL,,27/01/2024 10:58,,NULL,,n/a,,one,,2024/01/27 10:58,pos,partial refund
900054,122,liamande293@outlook.com,25,Sek,6.25,2.23,22.77,paid,n/a,manual,,,,2024-02-21T10:28:00,,,NO,mastercard,6760,2,,,manual_sheet,NaN
900055,1034,ellaberg734@gmail.com,20,sek,NULL,2.08,,payed,Klarna,manual,,,,2024-03-08 12:48,,NULL,GB,n/a,,one,0,2024/03/08 12:48,manual_sheet,
900056,521,fatimakh27@email.com,NaN,EUR,NaN,2.23,,Pending,Klarna,manual,ch_9FRQTGQ8AV,NaN,,May 07 2024 14:26,,,ES,mastercard,2006,NULL,0,,,partial refund
900057,217,pedrosil754@gmail.com,15,Sek,3.75,"1,50",,FAILED,SWISH,manual,,INV-202402-3954,NaN,Feb 06 2024 20:46,NULL,NaN,GB,mastercard,,,0,2024/02/06 20:46,stripe_export,partial refund
900058,397,user6286@gmail.com,40,,,,37.34,paid,bank_transfer,adyen,,,,2024-03-12 21:23,NULL,,NO,mastercard,,3,yes,2024-03-12 21:23,NULL,manual correction
900059,844,user7388@gmail.com,25,€,,2.23,,Pending,cash,klarna,,,,2024-02-02T20:53:00,,n/a,NO,VISA,9413,3,no,2024/02/02 20:53,stripe_export,
900060,523,NULL,35.00,SEK ,8.75,,n/a,paid,card,stripe,pi_X8QD8QMG6I1A,,,19/01/2024 11:08,,re_6MFBU8PYXD,NO,NULL,NaN,3,1,2024-01-19 11:08,pos,
900061,23,fatimakh509@gmail.com,40,EUR,10.0,"1,50",,PAID,bank transfer,manual,ch_OHYOGOCYXW,,,2024-01-21 12:35,,NULL,GB,visa,NaN,one,yes,2024/01/21 12:35,stripe_export,manual correction
900062,60,NaN,40,SEK ,10.0,,,Pending,swish,,ch_0P2B4AUABP,INV-202403-6953,,Mar 30 2024 12:18,,,GB,mastercard,,3,1,2024-03-30 12:18,,NaN
900063,98,mariamal755@email.com,35 SEK,EUR,NaN,,,pending,card,klarna,ch_HQQFPGSQT0,,RCPT_DKRKZQI,,,,SE,visa,,3,1,2024-02-25 07:29,,
900064,64,user8207@email.com,60,SEK ,,,,payd,SWISH,stripe,pi_QBHG1DUZ7OGX,,RCPT_PVACZS5,2024-01-11 22:56,,,,,,one,NULL,2024/01/11 22:56,square_export,partial refund
900065,1114,mariamal@email.com,20,sek,,,n/a,PAID,bank_transfer,manual,,,RCPT_6ZV0MKZ,NULL,NULL,,ES,visa,,one,NaN,2024-04-26 11:37,manual_sheet,manual correction
900066,430,user9538@gmail.com,15,€,,,13.06,Paid,Card,klarna,pi_W94GZLCKMWND,INV-202404-9231,,2024-04-09T15:39:00,,NULL,NO,VISA,,1,n/a,2024/04/09 15:39,square_export,NULL
900067,829,karinlun374@outlook.com,60,Sek,15.0,,,Paid,bank_transfer,klarna,ch_GM6ZFZJULW,INV-202402-3904,RCPT_D0SH7BJ,2024/02/13 07:41,NaN,,PT,,NULL,1,0,2024/02/13 07:41,manual_sheet,partial refund
900068,1036,,NaN,sek,5.0,2.08,17.92,Refunded,SWISH,stripe,n/a,,,2024-01-05 08:02,,,GB,VISA,,3,n/a,2024/01/05 08:02,stripe_export,
900069,53,norahans@gmail.com,,EUR,3.75,,,payd,Klarna,manual,NaN,,RCPT_N9DKIUI,,,NULL,GB,NULL,,,NULL,2024/04/21 11:16,manual_sheet,
900070,57,user9974@email.com,40,EUR,10.0,,,refunded,swish,square,,,,08/02/2024 13:37,n/a,n/a,SE,amex,,one,0,,square_export,
900071,493,luispere760@company.se,15 SEK,Sek,3.75,,,paid,Klarna,adyen,,,NULL,03/04/2024 15:35,n/a,n/a,PT,amex,2200,,0,2024/04/03 15:35,,
900072,1155,user3469@gmail.com,20,sek,,2.08,,paid,invoice,adyen,NaN,NaN,RCPT_QPPL277,Jan 22 2024 13:41,n/a,NaN,SE,VISA,,,no,2024/01/22 13:41,stripe_export,manual correction
900073,740,,20,€,,,,payed,swish,klarna,NaN,INV-202401-9394,NaN,2024-01-27 15:41,n/a,,,visa,5952,one,NaN,2024-01-27 15:41,manual_sheet,n/a
900074,612,pedrosil754@gmail.com,35,EUR,,"1,50",NULL,payed,cash,klarna,n/a,,,Feb 29 2024 17:08,NaN,n/a,,,NaN,NaN,NaN,,,duplicate
900075,114,user2105@email.com,15,SEK ,,n/a,,paid,card,klarna,,NULL,,17/02/2024 10:57,,,ES,mastercard,NULL,1,yes,2024-02-17 10:57,stripe_export,manual correction
900076,379,erikholm65@gmail.com,15,SEK,,"1,50",13.06,refunded,invoice,manual,,,,2024-02-19T07:29:00,n/a,,SE,VISA,,NaN,,2024/02/19 07:29,pos,
900077,1169,ahmedali167@company.se,NaN,sek,6.25,,NULL,PAID,Klarna,klarna,ch_OS4IFFEQMO,INV-202402-2929,,2024-02-22T10:20:00,,n/a,,visa,NaN,n/a,n/a,2024/02/22 10:20,pos,
900078,390,user2692@gmail.com,35,sek,,"1,50",n/a,refunded,bank transfer,adyen,ch_79GT7A67JH,,,Jan 29 2024 12:37,NULL,NaN,,,,,0,2024/01/29 12:37,stripe_export,partial refund
900079,303,mikaelås734@outlook.com,25 SEK,SEK,n/a,n/a,,paid,swish,manual,,,,2024-04-22T08:22:00,,,,,,,yes,2024-04-22 08:22,NULL,partial refund
900080,615,norahans@email.com,15,€,3.75,,n/a,payed,card,klarna,NULL,INV-202403-8920,RCPT_6UXTXQD,2024/03/01 18:46,,,,,NULL,,1,2024/03/01 18:46,square_export,NULL
900081,162,user9541@email.com,60,Sek,,,NULL,payd,cash,adyen,n/a,,RCPT_38PX0OL,26/04/2024 13:48,n/a,n/a,,NULL,,1,0,2024/04/26 13:48,,duplicate
900082,41,,,sek,15.0,"1,50",,Pending,Klarna,adyen,,,,Apr 08 2024 11:43,,NULL,GB,amex,,3,,2024/04/08 11:43,square_export,manual correction
900083,502,saralind694@outlook.com,35,SEK ,8.75,2.52,NULL,paid,cash,adyen,pi_X95D8MOV5F94,,,2024-04-01 10:21,,re_VXQQ6CN4ZO,PT,amex,9208,2,no,2024/04/01 10:21,,
900084,181,emmajoha610@email.com,15,Sek,,,13.06,payd,bank transfer,square,,,,2024-01-06 22:33,n/a,,NO,,,n/a,0,,square_export,manual correction
900085,393,emmajoha446@gmail.com,20,EUR,5.0,2.08,,Pending,invoice,stripe,,,,,,NULL,NaN,visa,,n/a,,2024-02-23 16:45,stripe_export,
900086,1012,oskarber957@company.se,20,€,,,,FAILED,card,klarna,ch_NM295NENMN,INV-202404-5758,,2024-04-03T13:36:00,,n/a,,visa,8295,one,NaN,2024-04-03 13:36,stripe_export,manual correction
900087,832,liamande127@company.se,15 SEK,€,3.75,,,pending,invoice,adyen,pi_OD9TSPCSYZR0,,RCPT_OL5XLK2,2024-02-24T17:19:00,,,,,,one,1,2024-02-24 17:19,manual_sheet,
900088,40,anagarci@gmail.com,n/a,sek,,,37.34,Paid,bank transfer,square,ch_VQ5FRGYAI7,,,,,,SE,VISA,NULL,,,,square_export,partial refund
900089,94,NaN,35,€,8.75,,,failed,card,stripe,,,RCPT_99DFBTN,21/01/2024 22:28,,,SE,mastercard,1920,1,,,manual_sheet,n/a
900090,998,,15,EUR,,NaN,,n/a,swish,manual,n/a,,,2024/03/11 21:18,NaN,n/a,,visa,4364,NaN,0,,,NaN
900091,628,luispere745@outlook.com,NaN,Sek,,,NULL,PAID,Klarna,stripe,ch_98MQASPBB7,NULL,NULL,2024-03-13 17:59,NaN,,GB,amex,,1,no,2024/03/13 17:59,stripe_export,
900092,482,noaherik618@outlook.com,,EUR,,,,failed,swish,manual,pi_GBTWPNZ3WLDL,,NULL,2024-02-12T09:21:00,,,,NaN,5816,n/a,,2024-02-12 09:21,stripe_export,
900093,37,user8057@email.com,25,Sek,,,,refunded,Klarna,manual,ch_IST6FMF7Z0,INV-202402-8102,,,NULL,re_U8SSCOQR9I,,mastercard,,,,,stripe_export,
900094,656,norahans@gmail.com,35,€,,,32.48,PAID,Card,adyen,pi_1932K1RKCLK0,n/a,RCPT_LEZJM5Z,,NULL,NULL,SE,visa,,1,NaN,2024-03-22 11:26,stripe_export,manual correction
900095,1107,NaN,15,SEK,NaN,1.94,,refunded,Klarna,manual,,INV-202403-9831,,Mar 07 2024 09:33,,,,,NaN,,1,2024-03-07 09:33,stripe_export,manual correction
900096,708,fatimakh311@gmail.com,15,sek,,1.94,n/a,failed,bank_transfer,adyen,pi_AJ6FZGL94OIQ,INV-202401-1944,,Jan 08 2024 18:14,,n/a,GB,mastercard,,,,2024/01/08 18:14,pos,partial refund
900097,481,n/a,40,SEK ,,,,Pending,SWISH,NULL,NaN,,,2024/02/05 12:02,,NULL,GB,visa,,,,,pos,partial refund
900098,1150,emmajoha610@email.com,15,€,,"1,50",,failed,card,manual,pi_ZJMGOHTMVQJW,,n/a,n/a,,n/a,,VISA,,1,no,,square_export,NaN
900099,194,davidsto100@outlook.com,60,SEK,,,,Pending,bank transfer,klarna,,,,NULL,n/a,,NO,,,2,NaN,,pos,
900100,684,,40,sek,10.0,,37.34,Paid,bank transfer,square,ch_2JI749IZE1,,,,,NULL,,,,3,0,,,partial refund
900101,546,,60,SEK ,15.0,3.24,56.76,Pending,cash,adyen,,,RCPT_HKLH24B,,,NaN,,VISA,,,,,,partial refund
900102,1012,anagarci844@company.se,,Sek,,"1,50",,paid,Klarna,adyen,pi_U00MGTQC7MMC,n/a,,2024/01/29 18:04,,NaN,,VISA,2353,2,NaN,,,duplicate
900103,457,,15,EUR,3.75,NULL,,Paid,invoice,stripe,ch_65SIQ4BNB8,INV-202401-5017,NaN,31/01/2024 20:23,,,SE,,,,,,,duplicate
900104,125,user996@email.com,"25,00",€,,"1,50",22.77,FAILED,invoice,adyen,pi_LGP14NVV4NMU,,,Feb 25 2024 07:07,,NULL,GB,n/a,,,0,2024-02-25 07:07,manual_sheet,partial refund
900105,471,karinlun422@outlook.com,40 SEK,€,10.0,,,paid,card,klarna,pi_DUHEEM5ZAKAH,n/a,,,,NaN,,,,,n/a,2024-05-08 17:57,manual_sheet,manual correction
900106,1090,mariamal136@company.se,15,SEK ,,,,Refunded,,manual,ch_3I3RNFX47D,NULL,,,NaN,,ES,,3057,n/a,no,2024/05/03 13:24,manual_sheet,partial refund
900107,663,saralind414@email.com,,Sek,,2.08,NaN,payed,Klarna,stripe,ch_RXJOT5QUHE,,NULL,2024/04/25 22:10,,NaN,ES,VISA,,NULL,0,,pos,manual correction
900108,1014,jonasnil950@outlook.com,20,sek,,,17.92,pending,bank_transfer,square,pi_ZWJUAD8H9KL4,,RCPT_R8XGPRY,,,,PT,n/a,,n/a,yes,2024-05-07 08:51,stripe_export,
900109,215,NULL,NaN,SEK ,,3.24,,PAID,bank transfer,klarna,n/a,INV-202402-7548,n/a,23/02/2024 14:27,NaN,,SE,amex,,,NULL,2024-02-23 14:27,square_export,manual correction
900110,714,elinsven653@email.com,60,EUR,n/a,3.24,,Paid,,manual,pi_Q7EY6M8Y7BVN,NaN,,Jan 07 2024 19:52,,,ES,NULL,1999,n/a,,,square_export,manual correction
900111,739,pedrosil754@gmail.com,40,EUR,10.0,2.66,,paid,bank_transfer,adyen,ch_7W3VXZIW53,,RCPT_OUOFQST,Jan 03 2024 19:35,n/a,,,mastercard,,,n/a,,square_export,
900112,1114,fatimakh322@outlook.com,25,sek,,,,paid,invoice,adyen,ch_AVIRZXW2FO,,RCPT_NB4QK7Y,,,re_YHXLRBAB7J,GB,,,,n/a,,,manual correction
900113,146,NULL,60,sek,15.0,,,Pending,cash,manual,,,,2024-03-15 22:05,,,n/a,amex,NULL,,1,2024-03-15 22:05,stripe_export,NULL
900114,125,anagarci844@company.se,,€,,n/a,13.06,Paid,bank transfer,NULL,ch_C0Y9R2ZJG4,,,,NULL,NULL,,amex,9951,1,yes,2024-05-02 16:30,manual_sheet,
900115,329,liamande@email.com,40,€,10.0,,,n/a,Klarna,square,,n/a,,,,re_UDYCNAZ1KT,,visa,,,0,,pos,
900116,467,user511@gmail.com,40,EUR,,2.66,37.34,PAID,swish,square,ch_LHX63558A2,NULL,,2024-05-03 18:11,n/a,n/a,ES,visa,,3,yes,2024-05-03 18:11,,
900117,552,liamande293@outlook.com,20,NaN,,"1,50",,FAILED,bank_transfer,klarna,,NaN,RCPT_86D04J8,,NaN,,,amex,,3,NULL,2024-02-11 21:49,stripe_export,
900118,1117,pedrosil@email.com,25,sek,,NaN,,FAILED,card,klarna,,,NULL,10/04/2024 20:35,,NULL,,n/a,,,,2024-04-10 20:35,square_export,manual correction
900119,1001,sofiaand@gmail.com,20,Sek,,,17.92,FAILED,bank transfer,klarna,,,,26/02/2024 07:26,NULL,n/a,,amex,3086,2,NaN,2024-02-26 07:26,manual_sheet,
900120,1073,,35 SEK,SEK ,8.75,NaN,,Refunded,Klarna,stripe,,INV-202402-7601,,2024-02-05 08:18,,n/a,SE,visa,,n/a,,,stripe_export,
900121,602,user6549@email.com,25,SEK ,,"1,50",22.77,Paid,card,klarna,ch_WVUXUC488W,INV-202405-2428,n/a,2024-05-07T14:51:00,,NaN,,visa,1259,,n/a,n/a,manual_sheet,manual correction
900122,646,,,EUR,,,56.76,pending,cash,NaN,,INV-202403-2237,,,,,ES,,,1,,2024-03-24 10:10,n/a,
900123,881,erikholm328@company.se,"35,00",EUR,8.75,2.52,,n/a,bank_transfer,adyen,,,,2024/01/10 18:30,,NULL,GB,NaN,8871,,,2024-01-10 18:30,stripe_export,n/a
900124,287,user4585@email.com,n/a,EUR,3.75,1.94,,payd,SWISH,stripe,ch_X3CLTJU2CC,NaN,,2024/05/09 08:17,NULL,,,mastercard,NULL,n/a,,2024/05/09 08:17,manual_sheet,duplicate
900125,839,saralind733@gmail.com,25,Sek,,,22.77,Pending,SWISH,stripe,ch_2S2MNNUFG6,,,yesterday,NULL,,GB,mastercard,,2,,NULL,pos,duplicate
900126,921,user6486@email.com,40,EUR,,,NaN,Paid,cash,manual,ch_3I8G9AOR97,,RCPT_8FKT98E,03/01/2024 10:09,NULL,re_JC6SUMITC3,PT,NULL,1276,NULL,NaN,2024-01-03 10:09,stripe_export,partial refund
900127,1187,n/a,35.00,NULL,8.75,"1,50",32.48,Refunded,Card,,,,NULL,08/04/2024 10:44,,NULL,n/a,,,n/a,0,2024/04/08 10:44,,
900128,274,user5712@email.com,60,SEK,,,NaN,pending,bank transfer,stripe,,,,,,n/a,ES,visa,,3,,2024-01-18 15:39,,n/a
900129,862,user6248@email.com,35,EUR,8.75,,,paid,swish,square,,,RCPT_MQGZCA8,,,,,,1095,,NULL,,,partial refund
900130,1150,karinlun@gmail.com,25 SEK,SEK,,,NULL,paid,swish,manual,pi_BS7IZ8ISW5MM,,,Jan 12 2024 17:02,NULL,,NaN,,5352,2,,2024/01/12 17:02,stripe_export,NaN
900131,33,sofiaand850@gmail.com,20,€,,,,refunded,swish,adyen,,INV-202403-5672,,,2024-03-20 07:25,NULL,SE,mastercard,,,1,2024/03/20 07:25,stripe_export,
900132,845,user6981@email.com,25,sek,6.25,2.23,,Pending,cash,klarna,,,,11/02/2024 15:22,,,NO,,9585,NaN,no,,stripe_export,partial refund
900133,940,fridakar823@gmail.com,35,€,,,,failed,bank_transfer,NULL,ch_257LSUT436,,n/a,May 08 2024 22:18,,n/a,NaN,amex,1451,n/a,,2024-05-08 22:18,stripe_export,n/a
900134,544,ellaberg146@outlook.com,40,Sek,NULL,n/a,NaN,Refunded,card,manual,ch_V4FOZYIGE6,,RCPT_4B19I3X,2024-01-18 15:34,,NaN,PT,,6619,,,2024/01/18 15:34,,NaN
900135,390,maríalóp229@email.com,35,SEK ,8.75,,32.48,n/a,swish,adyen,ch_189E54RQ5O,,,2024-04-26T16:40:00,NULL,,n/a,,,,,2024-04-26 16:40,stripe_export,
900136,961,,25,Sek,,,22.77,Pending,Card,stripe,ch_2O4I9XQT9E,,,2024-05-01T12:35:00,,NaN,SE,,,one,n/a,2024-05-01 12:35,manual_sheet,n/a
900137,911,linchen450@email.com,25,SEK,6.25,2.23,,payd,bank transfer,stripe,ch_VFZ2CAJ6R4,,NaN,,,,,,,1,NULL,2024/02/20 19:10,pos,
900138,1025,user6721@gmail.com,15,SEK ,,,,payd,card,manual,,NaN,RCPT_DAG6Z4P,2024-01-19T10:07:00,n/a,NaN,NO,mastercard,,,yes,,stripe_export,manual correction
900139,1190,luispere582@gmail.com,15,€,NULL,,13.06,payd,Card,adyen,,,RCPT_1N0FDY3,2024/02/02 16:40,NULL,,PT,mastercard,4966,,,2024-02-02 16:40,,
900140,25,linchen811@email.com,25,SEK,6.25,,22.77,payed,bank_transfer,stripe,,,RCPT_GD6DFKM,,NaN,,NaN,amex,,3,NULL,,,duplicate
900141,51,user689@email.com,15,SEK ,3.75,"1,50",NULL,refunded,SWISH,stripe,pi_4CNG88PPUAZ3,NaN,,n/a,,NULL,GB,NULL,,NULL,NULL,2024-04-15 17:49,pos,NULL
900142,858,emmajoha@gmail.com,40 SEK,EUR,10.0,,37.34,failed,Klarna,adyen,ch_3CT4Z207FM,,,2024/05/06 07:42,,n/a,SE,NaN,,,1,,pos,NULL
900143,608,jonasnil@email.com,40,sek,,2.66,,refunded,bank transfer,square,,,,2024/01/15 15:01,,NULL,SE,amex,,2,,2024/01/15 15:01,pos,duplicate
900144,675,karinlun413@email.com,40,sek,10.0,,n/a,FAILED,bank_transfer,manual,,,,2024/04/06 11:26,NULL,,ES,VISA,,NULL,,2024-04-06 11:26,,manual correction
