customer_id,full_name,email,phone,country,city,postal_code,address_line1,address_line2,signup_date,marketing_opt_in,preferred_channel,customer_type,risk_flag,lifetime_value,pets_count,primary_pet_name,primary_pet_breed,primary_pet_dob,emergency_contact,vet_provider,vaccination_status,waiver_signed,payment_terms,language,last_contacted,source_system,notes
1029,AHMED ALI,ahmedali81@company.se,,ES,Täby,192 95,Birger Jarlsgatan 27,Floor 4,2024-08-04,no,email,returning,unknown,,1 ,Rocky,MIXED,05 Mar 2021,Karin 66027375,Local Vet,,N,NET14,sv,NaN,export_v1,prefers morning drop-off
1030, Sara Lind ,saralind838@email.com,+34 641062464,España,Stockholm,,Birger Jarlsgatan 85,,2023/10/05,yes,walk-in,,high,NaN,1 ,,MIXED,05/01/2020,,Evidensia,,Yes,net_14,,27-09-2024,export_v2,
1031, Jonas Nilsson ,jonasnil951@outlook.com,+34 663458386,China,Nacka,53480,,,2024/07/15,Y,website,vip,n/a,,0,Milo,MIXED,NULL,Karin 69278433,Evidensia,,No,n/a,EN,NaN,sheets,allergic to peanuts
1032,Oscar Berg,oscarber275@company.se,+46 70 271 65 45,Portugal,Huddinge,n/a,Birger Jarlsgatan 14,Floor 6,02-04-2024,Y,n/a,vip,,,2,Charlie,Husky,07/10/2021,Jonas 64889688,,,FALSE,net_14,EN,14 Jul 2024,export_v1,NULL
1033,ella berg,ellaberg171@email.com,NULL,ES,Täby,,Skogsvägen 51,Apt 76,2023-11-24,0,walk-in,new,high,3951.77,,Luna,Beagle,Jul 01 2021,NaN,Local Vet,unknown,no,,,Jan 06 2025,export_v1,
1034,SARA LIND,saralind687@company.se,+46 70 754 50 86,United Kingdom,Solna,,Storgatan 87,Apt 31,Mar 27 2024,TRUE,phone,trial,,,3,,French Bulldog,06/17/2023,,Evidensia,,N,,sv,2024-10-02,excel,moved address
1035,Sofia  Andersson,sofiaand850@gmail.com,+46 70 133 67 43,Portugal,Täby,,Birger Jarlsgatan 22,Floor 1,2024/11/01,0,partner,trial,unknown,NaN,1 ,Milo,,01/26/2019,Karin 66905438,Evidensia,,NaN,prepay,SV,2024/08/25,form,allergic to peanuts
1036,Lin  Chen,linchen873@company.se,n/a,SE,Nacka,,,Apt 47,12/13/2024,0,email,new,,,NaN,,mix,2019-01-25,Jonas 62226333,Evidensia,,N,pay_on_arrival,,,excel,invoice required
1037,Ahmed Ali,ahmedali255@outlook.com,,Spain,Huddinge,74865,Storgatan 31,,2024/06/17,0,website,n/a,unknown,,,,Labrador,NaN,Karin 60668183,,expired,Yes,,EN,NULL,export_v1,invoice required
1038,olivia  lind,oliviali800@outlook.com,+46 70 220 13 52,UK,Sundbyberg,107 73,,Floor 4,12/02/2024,,walk-in,VIP,low,,3,Luna,French Bulldog,25 May 2018,Jonas 66983626,Local Vet,expired,no,,en,NaN,sheets,allergic to peanuts
1039,luis p.,luispere745@outlook.com,+47 92004872,China,Täby,58823,Storgatan 75,NULL,2023-11-17,No,NULL,unknown,medium,NaN,,,NULL,Aug 29 2021,,n/a,,no,prepay,,2024.03.17,export_v1,
1040,Elin Svensson,elinsven661@email.com,+44 7793623149,China,Sundbyberg,115 15,,Apt 51,11/18/2024,Y,email,returning,high,,2,,French Bulldog,2018/05/22,Jonas 66912082,n/a,up_to_date,no,net_14,EN,,export_v1,allergic to peanuts
1041,Olivia Lind,oliviali817@company.se,+47 96335227,España,Täby,172 28,Skogsvägen 23,Apt 5,2024-07-29,FALSE,partner,new,unknown,NaN,1,Luna,Beagle,Dec 28 2019,Jonas 69841668,Evidensia,NaN,Yes,net_14,sv,NaN,excel,moved address
1042,Fatima  Khan,fatimakh509@gmail.com,+46 70 179 40 54,Spain,Solna,18885,Sveavägen 101,Floor 8,Nov 24 2024,Y,website,corporate,NULL,,,,MIXED,2024/06/25,Karin 61236638,AniCura,expired,1,NaN,sv,09/15/2024,export_v1,
1043,lin  chen,linchen175@outlook.com,+47 98901136,NO,Sundbyberg,,Skogsvägen 29,Apt 73,16 Nov 2023,no,walk-in,VIP,unknown,,0,n/a,German Shepherd,2022.09.11,Karin 63953417,AniCura,unknown,NaN,,es,,form,moved address
1044,Liam Andersson,liamande293@outlook.com,+34 675174087,United Kingdom,Huddinge,15083,,,19 Feb 2024,,phone,vip,high,8007.04,1,Milo,mix,Dec 20 2022,,,UPTODATE,Y,,EN,2024-10-17,form,prefers morning drop-off
1045,NORA HANSEN,norahans586@gmail.com,+44 7799636574,CN,Huddinge,,Parkvägen 29,,2024-06-19,1,instagram,VIP,high,,2,,Chihuahua,2019-02-24,Jonas 69419687,,,NaN,net_14,,2024.01.19,export_v1,invoice required
1046,Karin Lund,karinlun898@gmail.com,+47 94071377,NULL,Huddinge,53426,Sveavägen 75,,31/08/2024,No,partner,new,,8449.55,NaN,Milo,Dachshund,NULL,Karin 63360419,,,TRUE,net_14,,02/04/2024,export_v2,
1047,oscar berg,oscarber298@company.se,+44 7468006578,CN,Nacka,,,Apt 65,2024/04/01,0,email,corporate,,7326.87,0,Max,,2018-03-22,Karin 66992333,AniCura,NaN,1,NET14,,2024/03/05,,moved address
1048,oscar  berg,oscarber524@email.com,+47 98663014,Sverige,Stockholm,98705,Birger Jarlsgatan 95,Floor 3,2024-05-25,TRUE,phone,corporate,unknown,2548.94,,Rocky,NULL,NaN,Karin 67659448,,unknown,TRUE,pay_on_arrival,SV,11/30/2023,form,
1049,Karin Lund,karinlun841@email.com,+44 7180385942,Spain,Stockholm,,,NULL,2024/03/13,N,instagram,new,,7079.77,,,Labrador,2024-04-01,Jonas 68528492,Evidensia,,N,net_14,en,2023/11/25,form,
1050,liam andersson,liamande127@company.se,+46 70 703 74 27,Norway,Täby,199 32,,,10 Jul 2024,Y,partner,vip,,NaN,,Luna,French Bulldog,18-08-2022,,,,FALSE,prepay,SV,Jul 24 2024,excel,invoice required
1051,ella berg,ellaberg464@email.com,,SE,Nacka,99803,NaN,Apt 80,05-11-2024,0,partner,NULL,unknown,,3,Luna,,11/02/2018,Karin 68620919,AniCura,unknown,1,,en,02/11/2024,export_v2,allergic to peanuts
1052,karin lund,karinlun658@gmail.com,,UK,Sundbyberg,68400,Ringvägen 25,Apt 66,05-10-2024,TRUE,NaN,NaN,,,3,Max,Poodle,12 Jan 2024,,,,0,pay_on_arrival,,2023-12-15,export_v2,
1053,Sara  Lind,saralind694@outlook.com,+46 70 111 80 81,Sweden,Sundbyberg,37752,,Apt 33,,TRUE,email,VIP,low,,1 ,Max,Mixed,03-10-2018,Karin 69740778,Local Vet,UPTODATE,FALSE,pay_on_arrival,NULL,2023/12/11,export_v2,
1054,Nora Hansen,norahans647@email.com,+47 91614990,Sverige,Sundbyberg,NULL,,,2024.07.05,Yes,walk-in,VIP,unknown,,1,Luna,Chihuahua,05/06/2024,NULL,Evidensia,unknown,FALSE,pay_on_arrival,en,2024/10/13,excel,invoice required
1055,ERIK HOLM,erikholm288@gmail.com,+47 94864570,Norway,Nacka,,NaN,Apt 74,03/10/2024,Yes,walk-in,n/a,low,,3,Bella,mix,07/03/2021,,Evidensia,unknown,n/a,prepay,,NaN,export_v2,moved address
1056,KARIN LUND,karinlun858@email.com,,Portugal,Huddinge,100 83,,NaN,27-04-2024,no,website,unknown,unknown,,2,Milo,,2022/06/16,,Local Vet,NULL,Yes,,en,Aug 10 2024,export_v1,moved address
1057,Lin Chen,linchen450@email.com,NaN,PT,Stockholm,146 40,Skogsvägen 52,Floor 7,2024/06/18,FALSE,partner,unknown,low,NaN,,Rocky,Beagle,,Karin 63263591,,up_to_date,1,prepay,EN,02/03/2025,sheets,
1058,ella  berg,ellaberg691@outlook.com,+47 94666931,ES,Solna,194 40,Parkvägen 80,Apt 20,,no,email,trial,low,7260.32,2,Rocky,Husky,11-06-2024,Karin 68575399,Evidensia,,TRUE,pay_on_arrival,es,2024.12.07,export_v1,invoice required
1059,Oscar Berg,oscarber569@company.se,+44 7289630619,China,Huddinge,NaN,Sveavägen 33,Floor 2,06/12/2024,TRUE,walk-in,VIP,high,4527.12,two,Rocky,,Jan 18 2022,,,up_to_date,0,,es,04/21/2024,excel,invoice required
1060, ERIK HOLM ,erikholm746@gmail.com,+46 70 861 99 20,Norway,Täby,,Storgatan 14,,18/11/2023,,website,corporate,n/a,,0,Rocky,n/a,2023.05.05,Jonas 64570355,,UPTODATE,Yes,prepay,es,10 Jan 2025,form,
1061,PEDRO SILVA,pedrosil783@outlook.com,+34 665419020,Norway,Täby,91625,Kungsgatan 42,Apt 69,09-12-2023,no,phone,n/a,,,1,Bella,Husky,Jun 08 2020,Karin 68361693,AniCura,,no,prepay,sv,29 Jun 2024,form,
1062,Ana G.,anagarci16@gmail.com,,Sverige,Sundbyberg,198 21,Ringvägen 80,,2024.11.05,TRUE,email,VIP,low,,1 ,Rocky,MIXED,2022/12/02,Jonas 66009053,Evidensia,expired,yes,NET14,NaN,22-12-2024,export_v2,allergic to peanuts
1063,Liam Andersson,liamande114@email.com,+46 70 168 15 26,United Kingdom,Huddinge,,,Apt 10,2024/06/05,N,walk-in,VIP,low,,,Bella,Chihuahua,2020-12-24,,,up_to_date,no,,SV,2024/10/29,export_v1,allergic to peanuts
1064,David Stone,davidsto949@outlook.com,,Spain,Stockholm,38157,,Floor 9,10/09/2023,No,website,new,,,2,n/a,NaN,NaN,,AniCura,,0,NET14,SV,11/02/2025,sheets,allergic to peanuts
1065,JONAS NILSSON,jonasnil345@email.com,+44 7191352864,Sverige,Solna,35966,,Apt 79,13 Jun 2024,FALSE,walk-in,VIP,,3072.41,two,,Dachshund,Feb 05 2022,Jonas 69963605,AniCura,expired,TRUE,net_14,es,12/26/2024,form,
1066,PEDRO  SILVA,pedrosil201@outlook.com,+47 95551832,ES,Nacka,51347,Parkvägen 65,Apt 72,2024/00/12,FALSE,partner,vip,,,2,Rocky,Beagle,2021/05/23,,NaN,unknown,yes,,en,05/18/2024,form,
1067,jonas nilsson,jonasnil31@outlook.com,+34 669459055,CN,Täby,,,Apt 4,11/24/2023,N,website,VIP,unknown,NaN,,,Husky,04/25/2023,Karin 63796232,AniCura,expired,Y,,,2024/04/25,export_v2,prefers morning drop-off
1068,erik holm,erikholm793@outlook.com,+44 7252728624,UK,Stockholm,123 84,Birger Jarlsgatan 53,NULL,2024.11.28,FALSE,instagram,vip,,,two,NULL,n/a,2019.04.13,Jonas 68788196,n/a,,Yes,,SV,NaN,NaN,
1069,mariam  ali,mariamal661@outlook.com,+46 70 974 14 95,Sverige,Solna,,Ringvägen 75,,26/10/2023,0,phone,VIP,low,7205.2,3,Luna,Golden Retriever,Jan 29 2021,,,,yes,pay_on_arrival,es,NULL,export_v1,allergic to peanuts
1070, Luis Perez ,luispere308@outlook.com,,ES,Sundbyberg,72797,,,2024-08-11,N,instagram,VIP,unknown,NaN,,Bella,Poodle,n/a,,Local Vet,up_to_date,0,NET14,,18 Mar 2024,sheets,NaN
1071,noah  eriksson,noaherik391@email.com,,CN,Sundbyberg,181 36,Skogsvägen 69,,22-11-2023,TRUE,website,new,low,9103.83,1 ,Rocky,n/a,28-07-2021,n/a,NULL,up_to_date,1,,en,2024-12-28,form,prefers morning drop-off
1072,emma johansson,emmajoha882@outlook.com,NaN,España,Täby,173 26,Ringvägen 14,,12/07/2024,Yes,instagram,trial,,,1,,,Sep 28 2018,Karin 69914834,,,Yes,,SV,26/03/2024,export_v1,moved address
1073,David Stone,davidsto966@company.se,+34 611089747,UK,Stockholm,100 81,Parkvägen 31,Floor 7,10-12-2024,0,email,corporate,,,1,,French Bulldog,10 Feb 2020,n/a,Local Vet,,TRUE,prepay,sv,2023-12-13,export_v1,
1074,ella berg,ellaberg146@outlook.com,,España,Täby,71455,Ringvägen 43,,15-09-2024,TRUE,walk-in,unknown,high,NaN,,,Chihuahua,2019-11-24,Karin 64894806,,up_to_date,TRUE,,sv,NaN,export_v2,
1075,Mariam  Ali,mariamal172@company.se,+44 7833913230,China,NaN,68827,Sveavägen 68,,30-05-2024,No,email,vip,NaN,2537.33,two,,Husky,2020/09/17,Jonas 65255795,AniCura,,yes,pay_on_arrival,sv,25/11/2024,form,allergic to peanuts
1076,n/a,ahmedali64@company.se,+44 7174516050,Norway,Stockholm,118 79,,Apt 5,11 Jan 2024,No,email,VIP,,,two,Bella,Labrador,19-05-2022,Jonas 66565434,AniCura,NULL,N,NET14,EN,,form,prefers morning drop-off
1077,OSCAR  BERG,oscarber554@outlook.com,+47 96692259,ES,Huddinge,,Kungsgatan 95,,2024-11-07,yes,instagram,new,medium,,1,Bella,Mixed,2019.02.03,,AniCura,,No,,SV,n/a,export_v2,
1078,ELLA BERG,ellaberg709@gmail.com,+34 670454232,Portugal,Nacka,NaN,Sveavägen 54,Floor 2,2024-08-08,no,partner,VIP,unknown,,two,Charlie,Mixed,2018/08/06,Karin 62503452,Evidensia,n/a,yes,pay_on_arrival,,07-10-2024,form,
1079,Elin Svensson,elinsven140@company.se,+46 70 747 55 44,NaN,Nacka,32439,Kungsgatan 114,n/a,2024-09-19,Yes,n/a,corporate,unknown,,3,,n/a,01 Mar 2018,n/a,,,n/a,,SV,06 Oct 2023,sheets,moved address
1080,Mariam  Ali,mariamal643@email.com,+47 95975954,Sweden,Täby,,Parkvägen 15,Floor 8,2024/09/22,yes,phone,returning,unknown,,2,Charlie,German Shepherd,n/a,Jonas 63519758,Evidensia,expired,0,net_14,es,07-12-2024,form,prefers morning drop-off
1081,MARIAM ALI,mariamal136@company.se,+46 70 554 92 12,UK,Huddinge,85851,NULL,,2024/12/20,No,website,returning,high,NaN,n/a,Bella,French Bulldog,17-12-2021,NaN,,expired,TRUE,prepay,,03/06/2024,form,allergic to peanuts
1082,ELIN  SVENSSON,elinsven491@email.com,+34 613328008,SE,Täby,,Kungsgatan 101,,May 16 2024,no,partner,returning,,3018.7,2,,French Bulldog,Oct 18 2022,NULL,Local Vet,expired,N,,sv,n/a,export_v1,
1083,LIN CHEN,linchen811@email.com,+47 93083343,Portugal,Huddinge,25644,,,05/01/2024,N,email,vip,unknown,6963.09,1,NaN,French Bulldog,,,AniCura,expired,0,NET14,,,sheets,allergic to peanuts
1084,SARA LIND,saralind135@email.com,,Spain,Stockholm,195 25,Kungsgatan 89,NaN,Oct 25 2024,Y,email,NaN,low,,1,Max,Labrador,2023-10-05,,,,yes,pay_on_arrival,,2024/02/04,sheets,
1085,Maria Lopez,maríalóp527@gmail.com,+34 672532267,UK,Huddinge,53006,,Apt 40,Jun 10 2024,Yes,instagram,VIP,,1793.46,two,Rocky,French Bulldog,2018.02.22,Jonas 67349399,AniCura,up_to_date,TRUE,NET14,EN,01/13/2024,form,
1086,Jonas Nilsson,NULL,+44 7924174273,PT,Nacka,,Sveavägen 104,Apt 5,,Y,instagram,VIP,,4204.28,1,Milo,mix,2019.11.04,Karin 65242203,AniCura,,N,,es,2025.01.24,form,
1087,david stone,davidsto885@company.se,+44 7439854673,Sweden,Nacka,112 98,Sveavägen 64,,19 Jul 2024,Y,website,unknown,NaN,,2,Bella,Mixed,07 Jun 2024,,,expired,1,pay_on_arrival,es,29 Jan 2025,export_v1,allergic to peanuts
1088,ERIK  HOLM,erikholm155@outlook.com,+47 94415137,Spain,Huddinge,176 40,Storgatan 20,,25-11-2024,Yes,instagram,unknown,low,NaN,0,NaN,MIXED,02/11/2021,,AniCura,up_to_date,0,,en,,export_v1,prefers morning drop-off
1089,Ahmed  Ali,ahmedali547@outlook.com,+34 666878965,Portugal,Sundbyberg,,,Floor 5,02/20/2024,Y,phone,VIP,low,,3,Bella,Dachshund,,,Evidensia,unknown,0,,EN,04-11-2023,form,invoice required
1090,Erik Holm,erikholm328@company.se,+47 96495887,Sverige,Nacka,148 83,,,10/01/2024,NULL,phone,new,,NaN,0,Rocky,n/a,NULL,,Evidensia,,FALSE,prepay,,NaN,excel,prefers morning drop-off
1091,Mikael Astrom,mikaelås991@email.com,+47 97621913,Spain,Solna,54456,NULL,Apt 19,2023-12-07,0,walk-in,corporate,high,,2,Milo,German Shepherd,06 Jul 2021,,,,N,pay_on_arrival,SV,NaN,excel,allergic to peanuts
1092, Mikael Astrom ,mikaelås698@email.com,+44 7187040987,Spain,Täby,184 10,Birger Jarlsgatan 42,Floor 1,2024.11.29,1,phone,n/a,low,,3,Milo,French Bulldog,NULL,Karin 63493397,,expired,TRUE,pay_on_arrival,en,14 Feb 2025,sheets,
1093,,n/a,,Norway,Huddinge,43211,Sveavägen 75,Apt 15,25 Nov 2023,TRUE,instagram,new,,NaN,1 ,,,17-01-2023,,AniCura,n/a,No,net_14,,17 Jan 2024,sheets,allergic to peanuts
1094,NULL,linchen925@gmail.com,+34 612634395,China,Nacka,106 52,,Apt 71,12-01-2024,N,instagram,trial,unknown,,two,Bella,German Shepherd,19 Mar 2018,Karin 69282090,,unknown,no,NET14,es,n/a,export_v1,prefers morning drop-off
1095,fatima khan,fatimakh311@gmail.com,+34 645005058,España,Nacka,114 89,Skogsvägen 44,,2023-12-29,TRUE,n/a,trial,low,,,Max,Golden Retriever,05/11/2024,,Evidensia,,no,prepay,en,09-03-2024,export_v2,invoice required
1096,Erik Holm,erikholm735@email.com,+46 70 422 61 31,SE,NaN,78128,Ringvägen 71,Apt 41,09/03/2024,1,partner,NULL,,,1 ,,mix,15 Nov 2021,,,NULL,Y,,,07-02-2024,export_v2,moved address
1097,SARA LIND,saralind733@gmail.com,+34 654002874,Sverige,Huddinge,154 62,Storgatan 55,,Nov 25 2024,Yes,instagram,trial,unknown,NaN,3,,Husky,29 Jun 2023,NULL,,,N,prepay,,2024/01/29,export_v2,moved address
1098,Oscar Berg,oscarber487@gmail.com,,NO,Sundbyberg,NaN,,Floor 5,15 Nov 2023,no,email,new,medium,9074.1,1 ,Charlie,MIXED,2023-05-04,,Local Vet,,FALSE,,,28/12/2024,export_v2,moved address
1099,maría lópez,maríalóp505@company.se,+44 7170285223,SE,Sundbyberg,,Ringvägen 17,,15 Oct 2023,no,email,returning,medium,,1 ,,German Shepherd,2024/00/12,,AniCura,unknown,1,,en,Oct 24 2024,export_v2,prefers morning drop-off
1100,Elin  Svensson,elinsven10@gmail.com,+46 70 813 72 60,China,Huddinge,26176,Ringvägen 46,Apt 23,2024-07-02,N,,corporate,low,2104.45,two,Rocky,Poodle,04-01-2019,Karin 63710242,Local Vet,NaN,1,NET14,,n/a,excel,allergic to peanuts
1101,ANA GARCÍA,anagarci697@company.se,NULL,España,Stockholm,,n/a,NaN,2024-13-05,no,walk-in,corporate,low,NaN,1,n/a,Husky,Sep 03 2020,,n/a,,No,NET14,,2024.01.06,export_v1,NaN
1102,david  stone,davidsto731@email.com,+47 99537891,Norway,Solna,131 27,,Floor 5,2024.05.03,Yes,,corporate,high,NaN,0,Luna,Labrador,2020-08-30,Jonas 63361682,Evidensia,up_to_date,0,,,2025.01.30,excel,allergic to peanuts
1103,mariam  ali,mariamal203@outlook.com,+34 684424395,Sweden,Stockholm,,Parkvägen 40,,10/12/2023,TRUE,partner,corporate,low,,1,,mix,Mar 13 2022,Jonas 60775026,,UPTODATE,Yes,net_14,,Mar 01 2024,export_v2,prefers morning drop-off
1104,Frida Karlsson,fridakar224@outlook.com,+46 70 486 83 30,UK,Sundbyberg,15392,Skogsvägen 60,,08/12/2023,0,phone,new,medium,NaN,0,Rocky,Golden Retriever,21/04/2021,,NaN,expired,yes,,SV,2024/09/06,export_v1,
1105,Oscar Berg,oscarber321@gmail.com,+46 70 814 63 36,Sverige,,n/a,Parkvägen 54,,04/09/2024,0,NaN,NULL,low,,1 ,,NaN,16 Apr 2020,Karin 66483284,AniCura,expired,No,NET14,,07/08/2024,sheets,allergic to peanuts
1106,Oscar Berg,oscarber281@gmail.com,+47 95141290,United Kingdom,Stockholm,,Ringvägen 39,,2024.07.18,FALSE,n/a,unknown,,,1 ,Max,,2018/06/28,n/a,,NaN,no,,,2024.05.10,export_v2,
1107,luis  perez,luispere760@company.se,+47 93575243,PT,Täby,,Ringvägen 40,n/a,2023/12/31,,website,NULL,medium,1899.86,0,,Beagle,27/02/2020,Jonas 62816607,Evidensia,up_to_date,Y,,sv,Aug 30 2024,excel,invoice required
1108,Mariam Ali,mariamal341@gmail.com,+46 70 804 50 95,PT,Huddinge,,Storgatan 30,Floor 4,2024.08.07,Y,website,new,low,,1,n/a,,,,,expired,yes,,,n/a,export_v2,allergic to peanuts
1109,mikael astrom,mikaelås460@gmail.com,+34 658262270,United Kingdom,Huddinge,155 29,,Floor 3,2024.05.29,TRUE,phone,corporate,high,,1 ,,Golden Retriever,09/26/2021,,AniCura,n/a,Yes,,,NULL,export_v1,moved address
